Web,Tipo,Periodo,Pageviews
El Comercio,Total,201701,205885118
El Comercio,Total,201702,221091105
El Comercio,Total,201703,276573784
El Comercio,Total,201704,237125982
El Comercio,Total,201705,199374498
El Comercio,Total,201706,179792804
El Comercio,Total,201707,204120594
El Comercio,Total,201708,205876653
El Comercio,Total,201709,215385484
El Comercio,Total,201710,255857128
El Comercio,Total,201711,245315022
El Comercio,Total,201712,231252433
El Comercio,Peru,201701,163796595
El Comercio,Peru,201702,175277996
El Comercio,Peru,201703,215506333
El Comercio,Peru,201704,180582042
El Comercio,Peru,201705,157375908
El Comercio,Peru,201706,143984160
El Comercio,Peru,201707,164909335
El Comercio,Peru,201708,161621684
El Comercio,Peru,201709,173209608
El Comercio,Peru,201710,202149880
El Comercio,Peru,201711,193694513
El Comercio,Peru,201712,189560266
El Comercio,Estados Unidos,201701,11820932
El Comercio,Estados Unidos,201702,12318760
El Comercio,Estados Unidos,201703,15962698
El Comercio,Estados Unidos,201704,13466579
El Comercio,Estados Unidos,201705,11727342
El Comercio,Estados Unidos,201706,10053991
El Comercio,Estados Unidos,201707,11636219
El Comercio,Estados Unidos,201708,11005368
El Comercio,Estados Unidos,201709,10857926
El Comercio,Estados Unidos,201710,13355068
El Comercio,Estados Unidos,201711,13122059
El Comercio,Estados Unidos,201712,12120354
El Comercio,Extranjero,201701,30267591
El Comercio,Extranjero,201702,33494349
El Comercio,Extranjero,201703,45104753
El Comercio,Extranjero,201704,43077361
El Comercio,Extranjero,201705,30271248
El Comercio,Extranjero,201706,25754653
El Comercio,Extranjero,201707,27575040
El Comercio,Extranjero,201708,33249601
El Comercio,Extranjero,201709,31317950
El Comercio,Extranjero,201710,40352180
El Comercio,Extranjero,201711,38498450
El Comercio,Extranjero,201712,29571813
Gestion,Total,201701,19732142
Gestion,Total,201702,18731328
Gestion,Total,201703,20652949
Gestion,Total,201704,17760984
Gestion,Total,201705,18019126
Gestion,Total,201706,17521880
Gestion,Total,201707,15747481
Gestion,Total,201708,16532330
Gestion,Total,201709,18245021
Gestion,Total,201710,17310986
Gestion,Total,201711,16107667
Gestion,Total,201712,16546671
Gestion,Peru,201701,17419440
Gestion,Peru,201702,16118343
Gestion,Peru,201703,17671333
Gestion,Peru,201704,15307803
Gestion,Peru,201705,15203663
Gestion,Peru,201706,15502556
Gestion,Peru,201707,13903193
Gestion,Peru,201708,14547418
Gestion,Peru,201709,15864310
Gestion,Peru,201710,14959767
Gestion,Peru,201711,13973480
Gestion,Peru,201712,14530449
Gestion,Estados Unidos,201701,444360
Gestion,Estados Unidos,201702,440144
Gestion,Estados Unidos,201703,531156
Gestion,Estados Unidos,201704,421826
Gestion,Estados Unidos,201705,424427
Gestion,Estados Unidos,201706,378880
Gestion,Estados Unidos,201707,368625
